GenomeName,A_content,T_content,G_content,C_content,Size
g__Alistipes.s__Alistipes_senegalensis,762915,1054638,1072385,661594,3551532
g__Alistipes.s__Alistipes_shahii,578720,763936,772297,492251,2607204
g__Alistipes.s__Alistipes_sp_AP11,494533,703188,659602,447611,2304934
g__Alistipes.s__Alistipes_sp_HGB5,685166,894387,909498,587933,3076984
g__Alistipes.s__Alistipes_sp_JC136,680404,944753,971931,592089,3189177
g__Alkalibacillus.s__Alkalibacillus_haloalkaliphilus,768020,497443,373213,678510,2317186
g__Alkalilimnicola.s__Alkalilimnicola_ehrlichii,473799,1012731,987270,474672,2948472
g__Alkaliphilus.s__Alkaliphilus_metalliredigens,1353039,866762,608963,1109658,3938422
g__Alkaliphilus.s__Alkaliphilus_oremlandii,915041,571919,402805,738118,2627883
g__Allexivirus.s__Garlic_virus_A,2302,1633,2413,1833,8172
g__Allexivirus.s__Garlic_virus_C,2370,1688,2132,1781,7971
g__Allexivirus.s__Garlic_virus_E,2254,1767,2242,1696,7959
g__Allexivirus.s__Garlic_virus_X,2332,1629,1974,1706,7641
g__Allexivirus.s__Shallot_virus_X,2429,1761,2440,1884,8514
g__Allobaculum.s__Allobaculum_stercoricanis,532585,335464,297534,471589,1637172
g__Allochromatium.s__Allochromatium_vinosum,549208,1015944,1048590,564692,3178434
g__Allofustis.s__Allofustis_seminis,426042,270666,216974,366498,1280180
g__Alloiococcus.s__Alloiococcus_otitis,440617,352303,345894,389931,1528745
g__Allolevivirus.s__Enterobacteria_phage_FI_sensu_lato,1001,1058,979,1042,4080
g__Allolevivirus.s__Enterobacteria_phage_Qbeta,967,984,959,1107,4017
g__Alloprevotella.s__Alloprevotella_rava,607651,512982,509385,552905,2182923
g__Alloprevotella.s__Alloprevotella_tannerae,609609,543121,509515,557938,2220183
g__Alloprevotella.s__Prevotella_sp_oral_taxon_473,597978,511716,529703,567726,2207123
g__Alloscardovia.s__Alloscardovia_omnicolens,445526,448005,386145,487978,1767654
g__Alphabaculovirus.s__Adoxophyes_honmai_nucleopolyhedrovirus,36760,19194,18406,30604,104964
g__Alphabaculovirus.s__Adoxophyes_orana_nucleopolyhedrovirus,36763,19144,18427,30603,104937
g__Alphabaculovirus.s__Agrotis_ipsilon_multiple_nucleopolyhedrovirus,38694,34575,36830,31804,141903
g__Alphabaculovirus.s__Agrotis_segetum_nucleopolyhedrovirus,37847,30685,32309,31786,132627
g__Alphabaculovirus.s__Antheraea_pernyi_nucleopolyhedrovirus,27767,32048,31801,24625,116226
g__Alphabaculovirus.s__Anticarsia_gemmatalis_nucleopolyhedrovirus,34784,27766,27268,29924,119739
g__Alphabaculovirus.s__Bombyx_mori_nucleopolyhedrovirus,37640,24046,23750,30943,116379
g__Alphabaculovirus.s__Choristoneura_fumiferana_DEF_multiple_nucleopolyhedrovirus,34016,27559,27065,29440,118077
g__Alphabaculovirus.s__Choristoneura_fumiferana_multiple_nucleopolyhedrovirus,31058,30276,30606,26878,118818
g__Alphabaculovirus.s__Choristoneura_occidentalis_alphabaculovirus,31162,30430,30698,26933,119223
g__Alphabaculovirus.s__Choristoneura_rosaceana_alphabaculovirus,32329,30315,30463,27922,121029
g__Alphabaculovirus.s__Chrysodeixis_chalcites_nucleopolyhedrovirus,45550,27581,27693,37633,138436
g__Alphabaculovirus.s__Clanis_bilineata_nucleopolyhedrovirus,37506,22870,22185,31217,113778
g__Alphabaculovirus.s__Ectropis_obliqua_nucleopolyhedrovirus,39572,23053,22868,32557,118050
g__Alphabaculovirus.s__Epiphyas_postvittana_nucleopolyhedrovirus,34174,23130,22630,30058,109992
g__Alphabaculovirus.s__Euproctis_pseudoconspersa_nucleopolyhedrovirus,39730,26234,25641,33078,124683
